DATE,PM2.5,PM10,CO2,HCHO
2021-01-18 09:24:53,19,26,719,0.158
2021-01-18 09:25:53,19,25,715,0.133
2021-01-18 09:26:53,19,25,812,0.139
2021-01-18 09:27:54,19,26,645,0.138
2021-01-18 09:28:54,20,27,584,0.116
2021-01-18 09:29:53,19,25,699,0.124
2021-01-18 09:30:53,18,23,701,0.138
2021-01-18 09:31:54,20,27,663,0.116
2021-01-18 09:32:54,18,24,712,0.129
2021-01-18 09:34:04,18,22,723,0.130
2021-01-18 09:35:04,18,23,694,0.121
2021-01-18 09:36:03,19,25,668,0.111
2021-01-18 09:37:04,18,24,645,0.112
2021-01-18 09:38:04,19,25,626,0.112
2021-01-18 09:39:04,20,26,616,0.113
2021-01-18 09:40:03,21,28,601,0.112
2021-01-18 09:41:04,20,27,594,0.112
2021-01-18 09:42:04,21,27,588,0.109
2021-01-18 09:43:04,20,26,589,0.112
2021-01-18 09:44:03,20,27,570,0.106
2021-01-18 09:45:04,22,29,556,0.099
2021-01-18 09:46:04,23,30,554,0.092
2021-01-18 09:47:04,22,29,555,0.091
2021-01-18 09:48:03,24,33,556,0.090
2021-01-18 09:49:04,27,36,570,0.087
2021-01-18 09:50:04,31,43,610,0.074
2021-01-18 09:51:04,29,40,622,0.073
2021-01-18 09:52:04,27,37,624,0.078
2021-01-18 09:53:04,29,39,641,0.073
2021-01-18 09:54:04,28,38,644,0.071
2021-01-18 09:55:04,26,35,645,0.073
2021-01-18 09:56:04,28,37,653,0.073
2021-01-18 09:57:04,29,38,675,0.075
